名稱,高度,等,TWD97緯度,TWD97經度,所在地
萬高坑山,106.00 ,Ⅳ,24.71357958 ,120.95508917 ,寶山
山頂山,62.07 ,Ⅳ,24.72097556 ,120.91619931 ,香山
小分坑山,173.16 ,Ⅳ,24.66694003 ,120.94258700 ,三灣
土牛庄,24.62 ,Ⅳ,24.68738744 ,120.92082978 ,頭份
大埔庄,53.44 ,Ⅳ,24.70359864 ,120.91952469 ,頭份
深井山,103.67 ,Ⅳ,24.71400622 ,120.93650625 ,香山 寶山
下北高山,72.78 ,Ⅳ,24.73464703 ,120.95086008 ,寶山
江寮山,113.20 ,Ⅳ,24.73080194 ,120.97090064 ,寶山
來湖山,53.55 ,Ⅳ,24.74599967 ,120.90955892 ,香山
青草山,40.62 ,Ⅳ,24.71539094 ,120.87241531 ,竹南
興陸,80.64 ,Ⅳ,24.69870467 ,120.93556328 ,頭份
崎林山,84.23 ,Ⅳ,24.71980733 ,120.94795000 ,香山
大統台山,128.20 ,Ⅳ,24.74466375 ,120.98478861 ,寶山
永春亡山,91.22 ,Ⅳ,24.75944992 ,120.93929286 ,香山
大湖莊,74.79 ,Ⅳ,24.75233542 ,120.92089539 ,香山
香仙山,91.52 ,Ⅳ,24.77138786 ,120.92500764 ,香山
石砂統山,126.47 ,Ⅳ,24.75558547 ,120.96606036 ,寶山
水流東山,161.89 ,Ⅳ,24.70427508 ,120.97253744 ,峨眉
牛車福山,132.49 ,Ⅳ,24.71825281 ,120.97786244 ,寶山
大銅鑼圈山,124.42 ,Ⅳ,24.66180297 ,120.97499700 ,三灣
頂寮山,188.84 ,Ⅳ,24.65713594 ,120.99564467 ,峨眉 三灣
崎林庄,86.67 ,Ⅳ,24.74514292 ,120.94859281 ,寶山
大船窩山,147.44 ,Ⅳ,24.84694286 ,121.04990375 ,新埔
枋寮庄,36.51 ,Ⅳ,24.83675108 ,121.04467589 ,芎林
土地公埔,42.99 ,Ⅳ,24.82951133 ,121.06011567 ,芎林
雙溪山,127.33 ,Ⅳ,24.75002803 ,120.99906494 ,寶山
潭坑子山,94.35 ,Ⅳ,24.75891167 ,120.98670511 ,寶山
印斗山,115.42 ,Ⅳ,24.78492075 ,120.97172903 ,新竹東區
虎子山,7.31 ,Ⅳ,24.80597742 ,120.92653981 ,香山
崙子庄,12.68 ,Ⅳ,24.81089219 ,120.95645986 ,新竹北區
拔子林,6.51 ,Ⅳ,24.81583400 ,120.93984897 ,新竹北區
北油車港,3.63 ,Ⅳ,24.82929400 ,120.93077525 ,新竹北區
苦苓腳,7.27 ,Ⅳ,24.82689111 ,120.95551431 ,新竹北區
烏樹林,11.80 ,Ⅳ,24.83514367 ,120.96919300 ,竹北
雅湳庄,14.00 ,Ⅳ,24.81755917 ,120.97014856 ,新竹北區
東勢庄,28.44 ,Ⅳ,24.80939136 ,120.99148700 ,新竹東區
溪埔,14.87 ,Ⅳ,24.82138947 ,120.98139561 ,新竹東區
頂溪,13.51 ,Ⅳ,24.83811144 ,120.98584539 ,竹北
下斗崙,21.67 ,Ⅳ,24.82944442 ,120.99376111 ,竹北
豆子埔,27.97 ,Ⅳ,24.83788508 ,121.02129600 ,竹北
黃金洞,53.36 ,Ⅳ,24.79899975 ,121.00787722 ,新竹東區
六張黎庄,37.79 ,Ⅳ,24.80803350 ,121.02038297 ,竹北
頂斗崙,29.57 ,Ⅳ,24.82544400 ,121.01723786 ,竹北
犁頭下山,44.07 ,Ⅳ,24.82946853 ,121.03101033 ,竹北
泉興,87.23 ,Ⅳ,24.78504711 ,121.00457653 ,新竹東區
出栗,128.68 ,Ⅳ,24.77708675 ,120.98964997 ,寶山
下樟樹林山,215.09 ,Ⅳ,24.83934650 ,121.08021922 ,新埔
隘口庄,45.04 ,Ⅳ,24.80966769 ,121.03495208 ,竹北
下山水溪口,50.51 ,Ⅳ,24.79958244 ,121.03718511 ,竹北
麻園洲,50.00 ,Ⅳ,24.79824422 ,121.04440525 ,竹北
二重埔,116.81 ,Ⅳ,24.77913947 ,121.04598025 ,竹東
北獅頭山,155.45 ,Ⅳ,24.78710856 ,121.07567339 ,芎林
荳子埔,78.61 ,Ⅳ,24.77513886 ,121.07109692 ,芎林
四重埔,126.04 ,Ⅳ,24.76054861 ,121.07039606 ,竹東
尖山,219.54 ,Ⅳ,24.75457961 ,121.05087494 ,寶山
柯子湖山,194.18 ,Ⅳ,24.76068128 ,121.04365572 ,竹東
下員山,139.05 ,Ⅳ,24.77340908 ,121.03573294 ,竹東
番子園,58.14 ,Ⅳ,24.78742058 ,121.03917906 ,竹東
金山面山,104.24 ,Ⅳ,24.77786258 ,121.02297697 ,新竹東區
大崎頭山,102.69 ,Ⅳ,24.76850119 ,121.00406825 ,寶山
石渣崙山,122.82 ,Ⅳ,24.77180317 ,120.96113894 ,新竹東區
客雅山,91.28 ,Ⅳ,24.78974739 ,120.95798067 ,新竹北區
四坪寮山,228.19 ,Ⅳ,24.70321214 ,121.07467325 ,北埔
番子社,180.52 ,Ⅳ,24.74858175 ,121.07695403 ,竹東
冷洽水山,167.36 ,Ⅳ,24.74014058 ,121.01625736 ,寶山
沙湖壢,205.26 ,Ⅳ,24.74868767 ,121.03714947 ,寶山
崩崁山,252.24 ,Ⅳ,24.74207867 ,121.06308944 ,竹東
石壁下山,132.51 ,Ⅳ,24.73230322 ,120.98814142 ,寶山
三叉凸山,172.18 ,Ⅳ,24.73172600 ,121.00220892 ,寶山
雞油凸,184.73 ,Ⅳ,24.72010525 ,121.01345767 ,寶山
八古山,174.58 ,Ⅳ,24.72621658 ,121.02500408 ,寶山
北岡同頂山,190.67 ,Ⅳ,24.72864208 ,121.04070242 ,寶山
面桶寮山,203.33 ,Ⅳ,24.72494469 ,121.05500486 ,寶山 北埔
新具庄山,268.51 ,Ⅳ,24.71608922 ,121.07126078 ,竹東 北埔
石井山,159.88 ,Ⅳ,24.70366425 ,120.99934233 ,峨眉
榴子坑山,171.77 ,Ⅳ,24.70791628 ,121.01514653 ,寶山 北埔
十二寮山,201.66 ,Ⅳ,24.71368903 ,121.04442400 ,寶山 北埔
北岡頂山,210.32 ,Ⅳ,24.69837850 ,121.06236617 ,北埔
福尖頭山,150.35 ,Ⅳ,24.69880567 ,120.98506092 ,峨眉
後脊山,155.69 ,Ⅳ,24.69518581 ,121.01519447 ,峨眉
陰影山,148.34 ,Ⅳ,24.69622117 ,121.03330975 ,峨眉
大南埔,121.45 ,Ⅳ,24.69740947 ,121.04616764 ,北埔
二寮岡頂山,234.17 ,Ⅳ,24.68827375 ,121.06550386 ,北埔
新庄,165.47 ,Ⅳ,24.67391386 ,120.99433275 ,峨眉
河背山,182.69 ,Ⅳ,24.68023439 ,121.00998522 ,峨眉
陰影山,311.74 ,Ⅳ,24.66696933 ,121.02378767 ,峨眉
陰影山,108.86 ,Ⅳ,24.68457858 ,121.03045044 ,峨眉
岡頂山,341.99 ,Ⅳ,24.67295322 ,121.03552728 ,峨眉
五分寮頂山,409.96 ,Ⅳ,24.66795903 ,121.06463428 ,北埔
四崙頂山,464.10 ,Ⅳ,24.67943794 ,121.07664586 ,北埔
龍頂山,311.88 ,Ⅳ,24.66064117 ,121.01300739 ,峨眉
石岡山,396.93 ,Ⅳ,24.65749378 ,121.04169825 ,北埔
茄苳富士山,278.84 ,Ⅳ,24.64235600 ,120.99002692 ,南庄 三灣
田美山,288.96 ,Ⅳ,24.62376333 ,121.01121583 ,南庄 三灣
烏蛇山,259.37 ,Ⅳ,24.61291164 ,121.00524939 ,南庄
水頭排山,594.65 ,Ⅳ,24.68862342 ,121.11294864 ,橫山
軟橋山,442.46 ,Ⅳ,24.68859883 ,121.09719636 ,竹東
矺子山,265.61 ,Ⅳ,24.69890853 ,121.11122800 ,橫山
花單林山,245.38 ,Ⅳ,24.70585514 ,121.09405642 ,竹東
員崠子山,238.59 ,Ⅳ,24.71962758 ,121.08891658 ,竹東
豆子埔,110.00 ,Ⅳ,24.73276847 ,121.09653753 ,竹東
水頭屋庄,110.00 ,Ⅳ,24.72387936 ,121.10292636 ,竹東
獅子頭山,219.60 ,Ⅳ,24.71563008 ,121.11072833 ,橫山
橫山庄,170.00 ,Ⅳ,24.72748875 ,121.16419644 ,寶山
補心莊,183.04 ,Ⅳ,24.71556997 ,121.12834189 ,橫山
大肚庄,200.96 ,Ⅳ,24.72441117 ,121.13555664 ,橫山
杵楨杆山,345.00 ,Ⅳ,24.71182133 ,121.14952886 ,橫山
三爺坑山,282.18 ,Ⅳ,24.74354547 ,121.11214614 ,橫山
鹿寮坑山,305.09 ,Ⅳ,24.73748431 ,121.13534297 ,橫山
小尾山,370.24 ,Ⅳ,24.75001756 ,121.13338844 ,芎林
南何山,376.24 ,Ⅳ,24.75057150 ,121.14895097 ,關西
五股林山,140.87 ,Ⅳ,24.76874658 ,121.08975531 ,芎林
中坑山,425.50 ,Ⅳ,24.76592869 ,121.11206706 ,芎林
上橫坑庄,463.05 ,Ⅳ,24.76567975 ,121.12711600 ,芎林 關西
新埔街,51.70 ,Ⅳ,24.82485617 ,121.07623119 ,新埔
水坑廣山,235.43 ,Ⅳ,24.79419550 ,121.09323319 ,新埔
石頭山,213.59 ,Ⅳ,24.80158781 ,121.08943022 ,新埔
鬱杉山,212.47 ,Ⅳ,24.80504369 ,121.15969989 ,關西 新埔
五分埔山,152.85 ,Ⅳ,24.82758161 ,121.09454506 ,新埔
高頂莊,225.71 ,Ⅳ,24.83047003 ,121.10931803 ,新埔
江頂庄,264.28 ,Ⅳ,24.83663372 ,121.12454028 ,新埔
大東坑山,228.72 ,Ⅳ,24.82149286 ,121.12468289 ,新埔
旱坑頂山,227.59 ,Ⅳ,24.79882906 ,121.13615181 ,關西
苧子園山,291.53 ,Ⅳ,24.78134869 ,121.16978511 ,關西
旱坑庄,292.17 ,Ⅳ,24.82546394 ,121.13638042 ,關西
下橫坑庄,308.31 ,Ⅳ,24.83615425 ,121.14545511 ,關西
山岡頂庄,325.99 ,Ⅳ,24.81440750 ,121.16728958 ,關西
頭排莊,222.27 ,Ⅳ,24.79545847 ,121.18022947 ,關西
咸菜硼街,336.31 ,Ⅳ,24.79807058 ,121.20639414 ,關西
共子滿庄,317.36 ,Ⅳ,24.82010361 ,121.19119244 ,關西
共子滿山,334.02 ,Ⅳ,24.82543331 ,121.18151089 ,關西 龍潭
桃澗堡,302.53 ,Ⅳ,24.84090314 ,121.19328822 ,龍潭
銅鑼圈庄,297.98 ,Ⅳ,24.82901844 ,121.20209369 ,龍潭
十一分庄,244.20 ,Ⅳ,24.84546094 ,121.23820619 ,龍潭
中坑山,224.84 ,Ⅳ,24.78196306 ,121.13440169 ,關西
上南片山,295.77 ,Ⅳ,24.78904511 ,121.15828394 ,關西
杏反岡庄,270.36 ,Ⅳ,24.80593256 ,121.17226289 ,關西
旱坑子,160.00 ,Ⅳ,24.83955781 ,121.06990764 ,新埔
小尾山北峰,380.00 ,Ⅳ,24.75193239 ,121.13258956 ,芎林
蕩跋山,340.00 ,Ⅳ,24.76540667 ,121.20500492 ,關西
暗潭山,288.00 ,Ⅳ,24.77472706 ,121.19034217 ,關西
焿寮坪山,680.00 ,Ⅳ,24.64579531 ,121.05823200 ,北埔
坑尾山,490.00 ,Ⅳ,24.36024639 ,120.86839200 ,卓蘭
四寮坪山,350.00 ,Ⅳ,24.41691881 ,120.87250894 ,大湖
舊砲台山,597.27 ,Ⅳ,24.32673661 ,120.86651550 ,卓蘭
大坪頂山,610.00 ,Ⅳ,24.30171119 ,120.87136033 ,卓蘭
大坪頂,176.00 ,Ⅳ,24.43642806 ,120.71251078 ,通霄
坪埔山,100.26 ,Ⅳ,24.45260142 ,120.67774975 ,苑裡 通霄
坪埔,77.18 ,Ⅳ,24.46068144 ,120.66722608 ,通霄
簡窩筧,223.22 ,Ⅳ,24.49467294 ,120.76985397 ,銅鑼
傳生窩,167.41 ,Ⅳ,24.48897553 ,120.74846250 ,通霄
田洋,155.29 ,Ⅳ,24.47845106 ,120.78324558 ,銅鑼
圓潭,268.04 ,Ⅳ,24.47621006 ,120.76508478 ,銅鑼
石圍,127.95 ,Ⅳ,24.47619675 ,120.81521331 ,銅鑼
姜子坑棚,294.77 ,Ⅳ,24.48086469 ,120.83678939 ,公館
福興山,192.63 ,Ⅳ,24.49247419 ,120.79185142 ,銅鑼
樟樹林,195.68 ,Ⅳ,24.46607964 ,120.78448603 ,銅鑼
七十分,119.27 ,Ⅳ,24.48688869 ,120.80829781 ,公館
公館庄,104.51 ,Ⅳ,24.49916847 ,120.81858761 ,公館
大坑山,254.29 ,Ⅳ,24.50199964 ,120.84312681 ,公館
長潭坑山,426.74 ,Ⅳ,24.43405956 ,120.75637356 ,通霄
老雞隆,298.64 ,Ⅳ,24.44897644 ,120.82284369 ,銅鑼
老雞,261.29 ,Ⅳ,24.46011447 ,120.82751389 ,公館
麻齊寮,87.22 ,Ⅳ,24.51147267 ,120.82059408 ,公館
中心埔,88.45 ,Ⅳ,24.51050697 ,120.80579864 ,公館
大坪埔,80.59 ,Ⅳ,24.46740036 ,120.67360344 ,通霄
大埤頭山,82.32 ,Ⅳ,24.51944467 ,120.72609767 ,通霄
頭山,49.43 ,Ⅳ,24.42898067 ,120.65695600 ,苑裡
北勢窩,93.42 ,Ⅳ,24.51998203 ,120.71357317 ,通霄
番社尾,86.94 ,Ⅳ,24.50328167 ,120.70618089 ,通霄
三張薰,84.39 ,Ⅳ,24.50802933 ,120.71526750 ,通霄
石覓山,131.77 ,Ⅳ,24.50261439 ,120.74176411 ,通霄
車輪窩山,129.80 ,Ⅳ,24.48025422 ,120.72853081 ,通霄
圳頭肚山,89.16 ,Ⅳ,24.48606019 ,120.70913158 ,通霄
牛尿坂山,76.90 ,Ⅳ,24.47997858 ,120.69179281 ,通霄
虎形山,98.60 ,Ⅳ,24.47570486 ,120.70920497 ,通霄
竹仔窩坑,110.81 ,Ⅳ,24.46208894 ,120.70656908 ,通霄
紅子坑山,186.68 ,Ⅳ,24.45212025 ,120.74243092 ,通霄
茄苳崑尾山,394.65 ,Ⅳ,24.44513911 ,120.75745692 ,通霄
埔山,138.72 ,Ⅳ,24.44317300 ,120.72721094 ,通霄
石頭窩,125.76 ,Ⅳ,24.46176125 ,120.69320811 ,通霄
頭窩山,83.65 ,Ⅳ,24.51501817 ,120.69544692 ,通霄
外大坪,96.01 ,Ⅳ,24.62152942 ,120.91845911 ,三灣
八服觀音山,140.88 ,Ⅳ,24.62130433 ,120.93835514 ,三灣
加東山,99.52 ,Ⅳ,24.62369544 ,120.85635647 ,造橋
石樁臼,115.89 ,Ⅳ,24.61539222 ,120.90729214 ,造橋
茄苳坑山,167.28 ,Ⅳ,24.59997211 ,120.89476664 ,造橋
北坑,115.37 ,Ⅳ,24.58730786 ,120.86454731 ,頭屋
片山,138.50 ,Ⅳ,24.56719428 ,120.86735264 ,頭屋
天山,149.21 ,Ⅳ,24.57871583 ,120.87890267 ,頭屋
箭竹凸,159.43 ,Ⅳ,24.58582947 ,120.90246256 ,頭屋
零宮廟山,137.93 ,Ⅳ,24.56636047 ,120.85443986 ,頭屋
好樹山,183.17 ,Ⅳ,24.56999747 ,120.89513150 ,頭屋
四方石凸山,176.60 ,Ⅳ,24.55628247 ,120.88263581 ,頭屋
三湖山,540.11 ,Ⅳ,24.54172433 ,120.90246997 ,獅潭 公館 頭屋
肚兜桶山,151.06 ,Ⅳ,24.53155881 ,120.85004819 ,公館
維祥,173.18 ,Ⅳ,24.53530383 ,120.84482250 ,公館
高禾埕,62.25 ,Ⅳ,24.53583386 ,120.82433661 ,公館
描閣社,179.69 ,Ⅳ,24.52730975 ,120.80197856 ,苗栗
鴨母坑山,232.55 ,Ⅳ,24.54625644 ,120.79169547 ,苗栗
南坑山,140.35 ,Ⅳ,24.54494714 ,120.77568575 ,西湖
五湖庄,176.53 ,Ⅳ,24.52033897 ,120.78321350 ,西湖
青子窩,165.87 ,Ⅳ,24.52378742 ,120.74565000 ,西湖
內湖山,101.63 ,Ⅳ,24.52850322 ,120.71170861 ,通霄
茍煥山,93.29 ,Ⅳ,24.53431789 ,120.72618472 ,通霄
牛蘭窩山,139.66 ,Ⅳ,24.54401056 ,120.73840417 ,西湖
新埔庄,25.68 ,Ⅳ,24.55306517 ,120.70279853 ,通霄
白沙屯山,40.60 ,Ⅳ,24.56778319 ,120.71247875 ,通霄
山邊,74.15 ,Ⅳ,24.58867189 ,120.71985669 ,後龍
牛埔山,90.23 ,Ⅳ,24.57786750 ,120.73685333 ,後龍
埔頭頂,44.33 ,Ⅳ,24.56689606 ,120.74676878 ,西湖
秤頂埔,36.86 ,Ⅳ,24.58912133 ,120.75541358 ,後龍
小湖山,99.59 ,Ⅳ,24.57512183 ,120.76380372 ,西湖
閨水窩山,133.33 ,Ⅳ,24.56097600 ,120.77129378 ,西湖
麻園山,107.58 ,Ⅳ,24.58561164 ,120.78290708 ,苗栗 後龍
崩崁頂,89.96 ,Ⅳ,24.59633233 ,120.79737828 ,後龍
營盤,10.60 ,Ⅳ,24.61425800 ,120.78392067 ,後龍
水尾庄,4.49 ,Ⅳ,24.63118233 ,120.76508992 ,後龍
外埔庄,3.84 ,Ⅳ,24.65192403 ,120.77910969 ,後龍
下大山腳,15.33 ,Ⅳ,24.63663947 ,120.79266258 ,後龍
社腳庄,12.60 ,Ⅳ,24.60943864 ,120.80947044 ,後龍
枝背庄,28.64 ,Ⅳ,24.60893833 ,120.82819317 ,後龍
田寮,34.14 ,Ⅳ,24.58800903 ,120.82694297 ,苗栗
獅子潭,56.40 ,Ⅳ,24.58311506 ,120.84778697 ,頭屋
嘉盛庄,39.05 ,Ⅳ,24.57120442 ,120.83028678 ,苗栗
營頭頂,119.33 ,Ⅳ,24.56163619 ,120.80653344 ,苗栗
維祥庄,51.30 ,Ⅳ,24.55411064 ,120.82500761 ,苗栗
斧頭坑山,168.00 ,Ⅳ,24.55752406 ,120.73631322 ,後龍
五老坑,8.37 ,Ⅳ,24.62374178 ,121.82195031 ,蘇澳
西阿兼城,12.08 ,Ⅳ,24.62138508 ,121.81368681 ,蘇澳
頭圍山,251.71 ,Ⅳ,24.87295972 ,121.81844311 ,頭城
岩藏山,184.46 ,Ⅳ,24.89673661 ,121.85138439 ,頭城
石坑山,515.21 ,Ⅳ,24.90343117 ,121.83444397 ,頭城
叢雲山,711.32 ,Ⅳ,24.92359892 ,121.85194728 ,雙溪 坪林
網形山,690.99 ,Ⅳ,24.93539667 ,121.82291869 ,雙溪
橫山,713.61 ,Ⅳ,24.95773378 ,121.84509392 ,雙溪
鹿窟尾山,552.72 ,Ⅳ,24.96420547 ,121.88295208 ,頭城 貢寮
鶯石尖,410.56 ,Ⅳ,24.94111969 ,121.88334022 ,頭城
大坪山,574.94 ,Ⅳ,24.97236758 ,121.84506594 ,雙溪
福隆山,472.80 ,Ⅳ,24.98764547 ,121.94588319 ,貢寮 頭城
白沙丘山,76.51 ,Ⅳ,25.01569831 ,121.95257717 ,貢寮
卯里尖,387.01 ,Ⅳ,25.01606294 ,121.97307975 ,貢寮
桶盤堀尖,431.06 ,Ⅳ,24.98164422 ,121.93402033 ,頭城
梗枋山,140.78 ,Ⅳ,24.90809400 ,121.87003469 ,頭城
港澳,6.52 ,Ⅳ,24.87200397 ,121.83859506 ,頭城
橋板湖山,302.82 ,Ⅳ,24.92020344 ,121.87559567 ,頭城
內打林山,337.80 ,Ⅳ,24.97428644 ,121.88498578 ,貢寮
大里簡山,166.44 ,Ⅳ,24.95500794 ,121.91278383 ,頭城
三分二山,522.02 ,Ⅳ,24.94056519 ,121.84161867 ,頭城
坪溪山,668.33 ,Ⅳ,24.91792606 ,121.82681069 ,雙溪
外大溪山,461.36 ,Ⅳ,24.94351119 ,121.87114789 ,頭城
瑪岡山,166.33 ,Ⅳ,25.00797839 ,121.99707153 ,貢寮
龜山頭山,244.34 ,Ⅳ,24.83740339 ,121.96298233 ,龜山島
龜山島,287.49 ,Ⅳ,24.83789156 ,121.94597275 ,龜山島
蘇澳山,243.51 ,Ⅳ,24.60138717 ,121.84373772 ,蘇澳
石硿山,196.36 ,Ⅳ,24.58413358 ,121.85964675 ,蘇澳
南方澳山,95.00 ,Ⅳ,24.58013208 ,121.87480231 ,蘇澳
北方澳鼻山,115.21 ,Ⅳ,24.60046633 ,121.88292425 ,蘇澳
草鹿山,99.75 ,Ⅳ,24.59071614 ,121.83878850 ,蘇澳
頂寮,18.95 ,Ⅳ,24.63532336 ,121.84454397 ,蘇澳
猴猴,9.02 ,Ⅳ,24.64278369 ,121.83228947 ,蘇澳
下福莊,8.83 ,Ⅳ,24.66088047 ,121.82574606 ,五結
大埤山,51.29 ,Ⅳ,24.62017483 ,121.79092631 ,冬山
大坪頂,81.06 ,Ⅳ,24.62850239 ,121.77828672 ,冬山
珍珠村,1.59 ,Ⅳ,24.64570214 ,121.78929681 ,冬山
廓後,16.35 ,Ⅳ,24.71256617 ,121.83024331 ,壯圍
一百甲莊,1.38 ,Ⅳ,24.69682475 ,121.82285244 ,五結
茅仔寮,3.52 ,Ⅳ,24.70965656 ,121.81012636 ,五結
溪底城,7.04 ,Ⅳ,24.71705142 ,121.78220519 ,壯圍
下五結,3.61 ,Ⅳ,24.68737369 ,121.78609353 ,五結
十八埒,2.81 ,Ⅳ,24.67372936 ,121.78556136 ,羅東
鼎橄社,0.98 ,Ⅳ,24.67592806 ,121.80781978 ,五結
三堵莊,1.46 ,Ⅳ,24.66026300 ,121.80845900 ,羅東
打那美莊,4.84 ,Ⅳ,24.66224894 ,121.77216219 ,羅東
龍目井,18.60 ,Ⅳ,24.66131156 ,121.75514911 ,冬山
廣興庄,19.32 ,Ⅳ,24.67010367 ,121.74963506 ,冬山
丕子丕,9.46 ,Ⅳ,24.69393769 ,121.75377458 ,羅東
尾塹庄,13.45 ,Ⅳ,24.69662078 ,121.74104528 ,三星
中溪州北,25.95 ,Ⅳ,24.70383125 ,121.71222533 ,三星
清州,8.74 ,Ⅳ,24.70629931 ,121.75228058 ,三星
二結莊,6.70 ,Ⅳ,24.70685558 ,121.76915372 ,五結
外大埔,42.35 ,Ⅳ,24.66465939 ,121.72224647 ,三星
破布鳥,96.22 ,Ⅳ,24.66878878 ,121.64733264 ,三星
紅瓦厝,116.65 ,Ⅳ,24.67179222 ,121.63340317 ,三星
湖口,1.16 ,Ⅳ,24.62186019 ,121.84468511 ,蘇澳
香員宅,6.05 ,Ⅳ,24.63473344 ,121.80231269 ,冬山
二萬五,72.41 ,Ⅳ,24.68199522 ,121.66582756 ,三星
石頭圍,28.59 ,Ⅳ,24.67532692 ,121.71747022 ,三星
十九結,50.07 ,Ⅳ,24.67583772 ,121.68847556 ,三星
中溪州,33.52 ,Ⅳ,24.68841592 ,121.70510100 ,三星
桕腳廓,29.03 ,Ⅳ,24.70589019 ,121.70523636 ,三星
下三結,4.10 ,Ⅳ,24.71069011 ,121.79634900 ,五結
壯一庄,8.06 ,Ⅳ,24.75736239 ,121.76219783 ,宜蘭
土圍莊,3.07 ,Ⅳ,24.78136617 ,121.79529833 ,壯圍
一結庄,9.13 ,Ⅳ,24.77132322 ,121.77793583 ,壯圍
番割田,2.54 ,Ⅳ,24.80241403 ,121.77089072 ,礁溪
坪底庄,3.96 ,Ⅳ,24.76068389 ,121.79785992 ,壯圍
武暖庄,3.73 ,Ⅳ,24.78372114 ,121.78049758 ,礁溪
礁溪,4.95 ,Ⅳ,24.81477178 ,121.77410494 ,礁溪
礁溪山,271.25 ,Ⅳ,24.83083675 ,121.76204194 ,礁溪
林尾山,183.27 ,Ⅳ,24.82018056 ,121.74290878 ,礁溪
東金面山,251.44 ,Ⅳ,24.85281389 ,121.79032656 ,頭城
壯四莊,3.16 ,Ⅳ,24.73936733 ,121.78128136 ,壯圍
莿子崙庄,355.94 ,Ⅳ,24.79305494 ,121.71436756 ,礁溪
五結莊,10.37 ,Ⅳ,24.75814086 ,121.74530708 ,宜蘭
二結,11.99 ,Ⅳ,24.77306550 ,121.73983519 ,宜蘭
莿子崙莊,62.86 ,Ⅳ,24.78960164 ,121.73276842 ,礁溪
鎮頭山,306.70 ,Ⅳ,24.76577308 ,121.70566258 ,員山
南門下莊,2.58 ,Ⅳ,24.73830303 ,121.79791561 ,壯圍
珍滿力庄,8.19 ,Ⅳ,24.73725047 ,121.74860953 ,宜蘭
白石腳庄,0.84 ,Ⅳ,24.82505783 ,121.78571194 ,礁溪
四鬮二庄,9.56 ,Ⅳ,24.72602750 ,121.74079872 ,宜蘭
二圍庄,7.80 ,Ⅳ,24.84074044 ,121.79843228 ,頭城
四結庄,6.96 ,Ⅳ,24.78608253 ,121.75255519 ,礁溪
四鬮三庄,16.34 ,Ⅳ,24.72941422 ,121.71621028 ,員山
壯二莊,4.30 ,Ⅳ,24.73783761 ,121.76329039 ,壯圍
淇武蘭,4.00 ,Ⅳ,24.81521417 ,121.78938752 ,礁溪
公館庄,10.27 ,Ⅳ,24.74301575 ,121.81699894 ,壯圍
后坪庄,3.49 ,Ⅳ,24.75274825 ,121.80321833 ,壯圍
東南門下莊,3.02 ,Ⅳ,24.73340608 ,121.80652261 ,壯圍
北大福庄,16.48 ,Ⅳ,24.80847828 ,121.81884114 ,壯圍
塭底庄,1.99 ,Ⅳ,24.80341858 ,121.80365250 ,礁溪
北塭底庄,1.57 ,Ⅳ,24.81756939 ,121.80490222 ,礁溪
頂新興莊,2.66 ,Ⅳ,24.84866644 ,121.82131044 ,頭城
頂埔,7.12 ,Ⅳ,24.84449292 ,121.81035811 ,頭城
中崙莊,0.92 ,Ⅳ,24.83263333 ,121.80465986 ,頭城
新城,9.87 ,Ⅳ,24.75742711 ,121.73263239 ,宜蘭
大湖庄山,214.38 ,Ⅳ,24.73341936 ,121.69028036 ,員山
山甘尾,40.26 ,Ⅳ,24.40610017 ,120.65058944 ,大甲
橫圳,26.78 ,Ⅳ,24.35932806 ,120.60656536 ,台中大安
水柳庄,20.83 ,Ⅳ,24.37122908 ,120.61352644 ,大甲
茄苳腳,44.56 ,Ⅳ,24.41197206 ,120.66236408 ,苑裡 通霄
寮子湖山,204.53 ,Ⅳ,24.41471858 ,120.71761142 ,苑裡 通霄
溪子田,66.44 ,Ⅳ,24.40497817 ,120.68198156 ,苑裡
大坪山,510.64 ,Ⅳ,24.40777883 ,120.75080700 ,三義 通霄
芎蕉坑山,308.19 ,Ⅳ,24.40431992 ,120.73411917 ,苑裡 通霄
大令哭山,268.33 ,Ⅳ,24.39281106 ,120.71811142 ,苑裡
蕃社後,58.41 ,Ⅳ,24.39127492 ,120.65520494 ,大甲
大甲苗圃,9.00 ,Ⅳ,24.42094625 ,120.61687803 ,大甲
樹子腳庄,52.24 ,Ⅳ,24.38225600 ,120.64295500 ,大甲
公館庄,99.89 ,Ⅳ,24.38357961 ,120.69271108 ,苑裡
大山,230.83 ,Ⅳ,24.38020622 ,120.70972781 ,苑裡
拐子湖山,395.26 ,Ⅳ,24.38171847 ,120.75441008 ,三義
碑頭,92.76 ,Ⅳ,24.37516686 ,120.67637531 ,大甲
四分山,339.98 ,Ⅳ,24.36761389 ,120.74764003 ,三義
六股庄,117.40 ,Ⅳ,24.36234072 ,120.68816997 ,外埔
伯公岡,250.48 ,Ⅳ,24.35935661 ,120.73445081 ,三義
鐵砧山,177.38 ,Ⅳ,24.35634356 ,120.64201847 ,大甲
土城崎頂,151.42 ,Ⅳ,24.34388586 ,120.67852056 ,外埔
鯉魚潭,292.58 ,Ⅳ,24.34494247 ,120.75360603 ,三義
大甲,43.34 ,Ⅳ,24.34414492 ,120.61840219 ,大甲
大甲東,102.64 ,Ⅳ,24.34110244 ,120.63447967 ,外埔
上六分,220.31 ,Ⅳ,24.33927806 ,120.69581283 ,外埔
新店,181.14 ,Ⅳ,24.34073778 ,120.72496889 ,后里
