名稱,高度,等,TWD97緯度,TWD97經度,所在地
廣興,16.31 ,Ⅰ,24.67076819 ,121.75322294 ,冬山
紅水溝,11.96 ,Ⅰ,24.66236853 ,121.76257056 ,冬山
埤頭山,486.31 ,Ⅰ,24.13836578 ,120.75288892 ,太平
小埔山,611.61 ,Ⅰ,24.01455156 ,120.94112256 ,埔里
浸水,12.97 ,Ⅰ,23.98290986 ,120.43262681 ,埔鹽
虎子山,556.45 ,Ⅰ,23.97387453 ,120.98202456 ,埔里
牛相山,591.22 ,Ⅰ,23.96545189 ,120.92938831 ,埔里
橫屏山,"1,508.33 ",Ⅰ,23.94576578 ,121.01866678 ,南投仁愛
九份二山,"1,173.63 ",Ⅰ,23.93456900 ,120.84164792 ,國姓
白葉山,853.24 ,Ⅰ,23.93137858 ,120.94845008 ,埔里 魚池
虎尾,30.18 ,Ⅰ,23.71229711 ,120.43391156 ,虎尾
鳳凰山,"1,698.17 ",Ⅰ,23.69168881 ,120.80616683 ,鹿谷
東郡大山,"3,619.42 ",Ⅰ,23.62672464 ,121.09208261 ,南投信義
松子腳山,145.53 ,Ⅰ,23.53581125 ,120.48076044 ,民雄
三叉山,"3,496.14 ",Ⅰ,23.29716989 ,121.02866350 ,桃源 卓溪 海端
卑南主山,"3,294.59 ",Ⅰ,23.05116492 ,120.87418500 ,桃源 海端
西勢,20.92 ,Ⅰ,22.62566189 ,120.52134131 ,竹田
屏南工業區,16.00 ,Ⅰ,22.40664680 ,120.57879680 ,枋寮
尚書林,56.92 ,Ⅰ,22.61487233 ,120.37841672 ,鳳山 大寮
大漢山,"1,704.18 ",Ⅰ,22.40776331 ,120.75123831 ,春日
大山母山,325.03 ,Ⅰ,21.96835058 ,120.77890311 ,恆春
王武塔山,"2,022.00 ",Ⅰ,23.71595703 ,121.33450419 ,萬榮
美奈田主山,"2,931.21 ",Ⅰ,22.97673031 ,121.00192003 ,延平
太麻里山,"1,339.93 ",Ⅰ,22.64309350 ,120.95248103 ,金峰
紅頭山,551.62 ,Ⅰ,22.05299953 ,121.53458169 ,蘭嶼
大森山,482.74 ,Ⅰ,22.01031542 ,121.58576850 ,蘭嶼
新望嶺,"2,481.31 ",Ⅰ,23.29454775 ,120.78242008 ,桃源 那瑪夏
中壢埔頂,138.93 ,Ⅱ,24.95630881 ,121.26328728 ,中壢
三針後山,814.97 ,Ⅱ,24.73716308 ,121.64564975 ,員山
高山頂,214.91 ,Ⅱ,24.92886122 ,121.18668842 ,楊梅 平鎮
溪南尖,301.05 ,Ⅱ,24.92461536 ,121.39735467 ,三峽
拳頭母山,"1,550.61 ",Ⅱ,24.70792103 ,121.54610731 ,烏來 大同 三星
阿玉山,"1,419.91 ",Ⅱ,24.78944114 ,121.60279500 ,烏來 員山
西勢湖,390.95 ,Ⅱ,25.25278194 ,121.60391028 ,金山
伯公岡,109.21 ,Ⅱ,24.94071433 ,121.07263994 ,楊梅
